Name,Code
알테오젠,196170
에코프로비엠,247540
펩트론,087010
에코프로,086520
HLB,028300
파마리서치,214450
삼천당제약,000250
레인보우로보틱스,277810
리가켐바이오,141080
에이비엘바이오,298380
휴젤,145020
클래시스,214150
리노공업,058470
코오롱티슈진,950160
실리콘투,257720
에스엠,041510
케어젠,214370
이오테크닉스,039030
JYP Ent.,035900
펄어비스,263750
셀트리온제약,068760
보로노이,310210
젬백스,082270
HPSP,403870
네이처셀,007390
솔브레인,357780
파크시스템스,140860
신성델타테크,065350
에스티팜,237690
동진쎄미켐,005290
원익IPS,240810
씨젠,096530
와이지엔터테인먼트,122870
디앤디파마텍,347850
카카오게임즈,293490
CJ ENM,035760
스튜디오드래곤,253450
주성엔지니어링,036930
엔켐,348370
브이티,018290
루닛,328130
비에이치아이,083650
ISC,095340
서진시스템,178320
티씨케이,064760
오스코텍,039200
원텍,336570
HK이노엔,195940
지아이이노베이션,358570
대주전자재료,078600
메지온,140410
디어유,376300
에스앤에스텍,101490
메디톡스,086900
위메이드,112040
카페24,042000
로보티즈,108490
하림지주,003380
SOOP,067160
테크윙,089030
고영,098460
태성,323280
유진테크,084370
덕산네오룩스,213420
하이젠알앤엠,160190
제이앤티씨,204270
와이씨,232140
넥슨게임즈,225570
올릭스,226950
솔브레인홀딩스,036830
에스에프에이,056190
LS마린솔루션,060370
엘앤씨바이오,290650
성광벤드,014620
차바이오텍,085660
코나아이,052400
동성화인텍,033500
아이쓰리시스템,214430
동국제약,086450
레이크머티리얼즈,281740
유일로보틱스,388720
태웅,044490
피엔티,137400
우리기술투자,041190
펌텍코리아,251970
아난티,025980
코미코,183300
휴메딕스,200670
필옵틱스,161580
국일제지,078130
하나마이크론,067310
LS머트리얼즈,417200
비올,335890
현대힘스,460930
코스메카코리아,241710
비츠로셀,082920
심텍,222800
피에스케이홀딩스,031980
안랩,053800
RFHIC,218410
NHN KCP,060250
두산테스나,131970
나노신소재,121600
SAMG엔터,419530
위메이드맥스,101730
제룡전기,033100
한글과컴퓨터,030520
우리기술,032820
이엔에프테크놀로지,102710
다우데이타,032190
인카금융서비스,211050
피에스케이,319660
시노펙스,025320
포스코엠텍,009520
파두,440110
큐리옥스바이오시스템즈,445680
다날,064260
엠로,058970
씨아이에스,222080
태광,023160
가온칩스,399720
서부T&D,006730
바이넥스,053030
에스피지,058610
에코프로에이치엔,383310
HLB생명과학,067630
HLB제약,047920
휴온스글로벌,084110
이녹스첨단소재,272290
감성코퍼레이션,036620
현대무벡스,319400
네오위즈,095660
쎄트렉아이,099320
지엔씨에너지,119850
메가스터디교육,215200
제주반도체,080220
SFA반도체,036540
인텔리안테크,189300
케이엠더블유,032500
데브시스터즈,194480
에프에스티,036810
원익QnC,074600
테스,095610
아이센스,099190
웹젠,069080
하나머티리얼즈,166090
큐로셀,372320
오름테라퓨틱,475830
넥스틴,348210
에이프릴바이오,397030
컴투스,078340
성우하이텍,015750
티앤엘,340570
글로벌텍스프리,204620
대명에너지,389260
솔트룩스,304100
에스티큐브,052020
유바이오로직스,206650
넥스트바이오메디컬,389650
미코,059090
클로봇,466100
원익홀딩스,030530
동화기업,025900
성일하이텍,365340
천보,278280
바이오다인,314930
한국기업평가,034950
바이오플러스,099430
한텍,098070
유티아이,179900
콜마비앤에이치,200130
케이아이엔엑스,093320
이뮨온시아,424870
티에스이,131290
신성에스티,416180
에코아이,448280
아이티센글로벌,124500
스피어,347700
골프존,215000
씨어스테크놀로지,458870
신라젠,215600
월덱스,101160
서희건설,035890
서울반도체,046890
더즌,462860
퓨쳐켐,220100
우주일렉트로,065680
갤럭시아머니트리,094480
에코앤드림,101360
파인엠텍,441270
씨앤씨인터내셔널,352480
코오롱생명과학,102940
코난테크놀로지,402030
예스티,122640
아스테라시스,450950
바이오니아,064550
쏠리드,050890
제우스,079370
삼현,437730
매커스,093520
네오셈,253590
제이에스링크,127120
유진로봇,056080
티에프이,425420
코미팜,041960
도우인시스,484120
쿠콘,294570
하이록코리아,013030
선익시스템,171090
메디포스트,078160
