Name,Code
삼성전자,005930
SK하이닉스,000660
LG에너지솔루션,373220
삼성바이오로직스,207940
한화에어로스페이스,012450
삼성전자우,005935
현대차,005380
KB금융,105560
HD현대중공업,329180
기아,000270
두산에너빌리티,034020
셀트리온,068270
NAVER,035420
신한지주,055550
한화오션,042660
삼성물산,028260
현대모비스,012330
POSCO홀딩스,005490
한국전력,015760
삼성생명,032830
카카오,035720
HD한국조선해양,009540
하나금융지주,086790
HMM,011200
현대로템,064350
LG화학,051910
메리츠금융지주,138040
삼성화재,000810
SK스퀘어,402340
우리금융지주,316140
HD현대일렉트릭,267260
SK이노베이션,096770
삼성중공업,010140
KT&G,033780
고려아연,010130
크래프톤,259960
삼성SDI,006400
기업은행,024110
SK,034730
KT,030200
LIG넥스원,079550
카카오뱅크,323410
LG전자,066570
LG,003550
삼성에스디에스,018260
효성중공업,298040
SK텔레콤,017670
포스코퓨처엠,003670
HD현대,267250
미래에셋증권,006800
현대글로비스,086280
한화시스템,272210
하이브,352820
삼성전기,009150
삼양식품,003230
한국항공우주,047810
유한양행,000100
두산,000150
DB손해보험,005830
포스코인터내셔널,047050
LS ELECTRIC,010120
대한항공,003490
카카오페이,377300
HD현대마린솔루션,443060
HD현대미포,010620
코웨이,021240
한미반도체,042700
한국금융지주,071050
SK바이오팜,326030
아모레퍼시픽,090430
한진칼,180640
현대건설,000720
한화,000880
LG씨엔에스,064400
에이피알,278470
S-Oil,010950
한화솔루션,009830
NH투자증권,005940
삼성증권,016360
LG유플러스,032640
현대차2우B,005387
삼성카드,029780
키움증권,039490
LS,006260
한국타이어앤테크놀로지,161390
맥쿼리인프라,088980
두산밥캣,241560
넷마블,251270
삼성E&A,028050
LG디스플레이,034220
LG생활건강,051900
현대제철,004020
풍산,103140
BNK금융지주,138930
GS,078930
이수페타시스,007660
CJ,001040
JB금융지주,175330
오리온,271560
현대오토에버,307950
엔씨소프트,036570
강원랜드,035250
한국가스공사,036460
두산로보틱스,454910
포스코DX,022100
SKC,011790
현대차우,005385
CJ제일제당,097950
LG이노텍,011070
한전기술,052690
한미약품,128940
SK바이오사이언스,302440
에코프로머티,450080
한화비전,489790
산일전기,062040
한미사이언스,008930
KCC,002380
금호석유화학,011780
현대엘리베이터,017800
한화생명,088350
HD현대인프라코어,042670
동서,026960
롯데지주,004990
대한전선,001440
한화엔진,082740
서울보증보험,031210
에스원,012750
롯데케미칼,011170
코스맥스,192820
F&F,383220
영원무역,111770
달바글로벌,483650
시프트업,462870
이마트,139480
SK가스,018670
아모레퍼시픽홀딩스,002790
엘앤에프,066970
한전KPS,051600
현대해상,001450
농심,004370
제일기획,030000
더존비즈온,012510
팬오션,028670
HD현대마린엔진,071970
iM금융지주,139130
한국콜마,161890
한온시스템,018880
한국앤컴퍼니,000240
미스토홀딩스,081660
신영증권,001720
한솔케미칼,014680
일진전기,103590
코리안리,003690
SK아이이테크놀로지,361610
CJ대한통운,000120
DB하이텍,000990
롯데쇼핑,023530
씨에스윈드,112610
BGF리테일,282330
아시아나항공,020560
영원무역홀딩스,009970
OCI홀딩스,010060
호텔신라,008770
대웅제약,069620
DL이앤씨,375500
SNT다이내믹스,003570
DN오토모티브,007340
동원산업,006040
GS건설,006360
녹십자,006280
HL만도,204320
HD현대건설기계,267270
신세계,004170
파라다이스,034230
대우건설,047040
현대백화점,069960
에스엘,005850
오뚜기,007310
HDC현대산업개발,294870
한국카본,017960
두산퓨얼셀,336260
다우기술,023590
두산우,000155
엠앤씨솔루션,484870
한올바이오파마,009420
하이트진로,000080
대웅,003090
효성,004800
SK리츠,395400
오리온홀딩스,001800
동양생명,082640
GS리테일,007070
금호타이어,073240
현대위아,011210
HDC,012630
이수스페셜티케미컬,457190
현대지에프홀딩스,005440
종근당,185750
롯데에너지머티리얼즈,020150
롯데관광개발,032350
한일시멘트,300720
대신증권,003540
한화투자증권,003530
미래에셋생명,085620
경동나비엔,009450
LX인터내셔널,001120
코스모신소재,005070
에스디바이오센서,137310
롯데칠성,005300
더블유게임즈,192080
LG화학우,051915
